code,parent,label_et
A,,"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK"
08991,0899,Muu mujal liigitamata kaevandamine
09,B,Kaevandamist abistavad tegevusalad
091,09,Nafta ja maagaasi tootmist abistavad tegevusalad
0910,091,Nafta ja maagaasi tootmist abistavad tegevusalad
09101,0910,Nafta ja maagaasi tootmist abistavad tegevusalad
099,09,Muud kaevandamist abistavad tegevusalad
0990,099,Muud kaevandamist abistavad tegevusalad
09901,0990,Muud kaevandamist abistavad tegevusalad
C,,TÖÖTLEV TÖÖSTUS
10,C,Toiduainete tootmine
101,10,Liha töötlemine ja säilitamine ning lihatoodete tootmine
1011,101,"Liha, v.a linnuliha, töötlemine ja säilitamine"
10111,1011,"Liha, v.a linnuliha, töötlemine ja säilitamine"
1012,101,Linnuliha töötlemine ja säilitamine
10121,1012,"Linnuliha töötlemine ja säilitamine, k.a sulgede töötlemine"
1013,101,Liha- ja linnulihatoodete tootmine
10131,1013,Liha- ja linnulihatoodete tootmine
102,10,"Kala, koorikloomade ja molluskite töötlemine ja säilitamine"
1020,102,"Kala, koorikloomade ja molluskite töötlemine ja säilitamine"
10201,1020,"Kala, koorikloomade ja molluskite töötlemine ja säilitamine"
103,10,Puu- ja köögivilja töötlemine ja säilitamine
1031,103,Kartuli töötlemine ja säilitamine
10311,1031,Kartuli töötlemine ja säilitamine
1032,103,Puu- ja köögiviljamahla tootmine
10321,1032,Puu- ja köögiviljamahla tootmine
1039,103,Muu puu- ja köögivilja töötlemine ja säilitamine
10391,1039,Muu puu- ja köögivilja töötlemine ja säilitamine
104,10,Taimse ja loomse õli ja rasva tootmine
1041,104,Õli ja rasva tootmine
10411,1041,Õli ja rasva tootmine
1042,104,Margariini jms toidurasva tootmine
10421,1042,Margariini jms toidurasva tootmine
105,10,Piimatoodete ja toidujää tootmine
1051,105,Piimatoodete tootmine
10511,1051,"Värske piima töötlemine, rõõsa koore tootmine"
10512,1051,Juustu ja kohupiima tootmine
