rev2,rev21,partial
3832,3821,1
3900,3900,1
4110,6812,1
4120,4100,1
4120,4399,1
4120,9130,1
4211,4211,1
4211,4350,1
4212,4212,1
4213,4213,1
4221,4221,1
4222,4222,1
4291,4291,1
4299,6812,1
4299,4299,1
4311,4311,1
4312,4312,1
4313,4313,1
4321,4321,1
4322,4322,1
4329,4323,1
4329,4324,1
4331,4331,1
4332,4332,1
4333,4333,1
4334,4334,1
4339,4323,1
4339,4331,1
4339,4332,1
4339,4333,1
4339,4334,1
4339,4335,1
4339,8122,1
4391,4341,1
4399,4299,1
4399,4322,1
4399,4323,1
4399,4335,1
4399,4341,1
4399,4391,1
4399,4399,1
4399,4342,1
4399,4350,1
4399,8122,1
4511,4618,1
4511,4671,1
4511,4781,1
4511,4792,
4519,4618,1
4519,4671,1
4519,4781,1
4519,4792,
4520,9531,1
4531,4618,1
4531,4672,1
4532,4782,1
4532,4792,
4540,4618,1
4540,4673,1
4540,4783,1
4540,9532,1
4540,4792,
4611,4611,1
4612,4612,1
4613,4613,1
4614,4614,1
4615,4615,1
4616,4616,1
4617,4617,1
4618,4618,1
4619,4619,1
4621,4621,1
4622,4622,1
4623,4623,1
4624,4624,1
4631,4631,1
4632,4632,1
4633,4633,1
4634,4634,1
4635,4635,1
4636,4636,1
4637,4637,1
4638,4632,1
4638,4638,1
4639,4639,1
4641,4641,1
4642,4642,1
4643,4643,1
4643,4649,1
4643,4664,1
4644,4644,1
4645,4645,1
4646,4646,1
4647,4647,1
4648,4648,1
4649,4649,1
4651,4650,1
4652,4650,1
4661,4661,1
4662,4662,1
4663,4663,1
4664,4664,1
4665,4647,1
4666,4650,1
4669,4664,1
4671,4681,1
4672,4682,1
4673,4683,1
4674,4684,1
4675,4685,1
4676,4686,1
4677,4687,1
4690,4690,1
4711,4711,1
4711,4791,
4719,4712,1
4719,4791,
4721,4721,1
4721,4792,
4722,4722,1
4722,4792,
4723,4723,1
4723,4792,
4724,4724,1
4724,4792,
4725,4725,1
4725,4792,
4726,4726,1
4726,4792,
4729,4727,1
4729,4792,
4730,4730,1
4730,4792,
4741,4740,1
4741,4792,
4742,4740,1
4742,4792,
4743,4740,1
4743,4792,
4751,4751,1
4751,4792,
4752,4752,1
4752,4792,
4753,4753,1
4753,4792,
4754,4754,1
4754,4792,
4759,4752,1
4759,4755,1
4759,4769,1
4759,4792,
4761,4761,1
4761,4792,
4762,4762,1
4762,4792,
4763,4769,1
4763,4792,
4764,4763,1
4764,4792,
4765,4764,1
4765,4792,
4771,4771,1
4771,4792,
4772,4772,1
4772,4792,
4773,4773,1
4773,4792,
4774,4774,1
4774,4792,
4775,4775,1
4775,4792,
4776,4776,1
4776,4792,
4777,4777,1
4777,4792,
4778,4755,1
4778,4763,1
4778,4774,1
4778,4778,1
4778,4769,1
4778,4792,
4779,4791,1
4779,4792,1
4779,4779,1
4781,4711,1
4781,4721,1
4781,4722,1
4781,4723,1
4781,4724,1
4781,4725,1
4781,4726,1
4781,4727,1
4782,4712,1
4782,4751,1
4782,4771,1
4782,4772,1
4782,4779,1
4789,4712,1
4789,4740,1
4789,4752,1
4789,4753,1
4789,4754,1
4789,4755,1
4789,4761,1
4789,4762,1
4789,4763,1
4789,4764,1
4789,4774,1
4789,4775,1
4789,4776,1
4789,4777,1
4789,4778,1
4789,4779,1
4789,4769,1
4791,4711,1
4791,4712,1
4791,4721,1
4791,4722,1
4791,4723,1
4791,4724,1
4791,4725,1
4791,4726,1
4791,4727,1
4791,4740,1
4791,4751,1
4791,4752,1
4791,4753,1
4791,4754,1
4791,4755,1
4791,4761,1
4791,4762,1
4791,4763,1
4791,4764,1
4791,4771,1
4791,4772,1
4791,4773,1
4791,4774,1
4791,4775,1
4791,4776,1
4791,4777,1
4791,4778,1
4791,4779,1
4791,6039,1
4791,4769,1
4791,4791,
4791,4792,
4799,4791,1
4799,4711,1
4799,4712,1
4799,4721,1
4799,4722,1
4799,4723,1
4799,4724,1
4799,4725,1
4799,4726,1
4799,4727,1
4799,4740,1
4799,4751,1
4799,4752,1
4799,4753,1
4799,4754,1
4799,4755,1
4799,4761,1
4799,4762,1
4799,4763,1
4799,4764,1
4799,4771,1
4799,4772,1
4799,4774,1
4799,4775,1
4799,4776,1
4799,4777,1
4799,4778,1
4799,4779,1
4799,4769,1
4799,4792,
4910,4911,1
4910,4912,1
4920,4920,1
4931,4912,1
4931,4931,1
4931,4934,1
4932,4933,1
4932,5232,
4939,4931,1
4939,4932,1
4939,4939,1
4939,4934,1
4941,4941,1
4941,5224,1
4942,4942,1
4950,4950,1
5010,5010,1
5020,5020,1
5030,5030,1
5040,5040,1
5110,5110,1
5121,5121,1
5122,5122,1
5210,5210,1
5210,3524,1
5210,6310,1
5221,5221,1
5222,5222,1
5223,5223,1
5224,5224,1
5229,5232,1
5229,5225,1
5229,5226,1
5229,5231,
5310,5310,1
5320,5320,1
5510,5510,1
5520,5520,1
5530,5530,1
5590,5590,1
5610,5611,1
5610,5612,1
5621,5621,1
5629,5622,1
5630,5630,1
5811,5811,1
5812,5819,1
5813,5812,1
5814,5813,1
5819,5819,1
5821,5821,1
5829,5829,1
5911,5911,1
5912,5912,1
5913,5913,1
5914,5914,1
5920,5920,1
6010,6010,1
6020,6020,1
6110,6110,1
6120,6110,1
6120,6190,1
6130,6110,1
6190,6120,1
6190,6190,1
6201,6210,1
6202,6220,1
6203,6220,1
6209,6290,1
6311,6020,1
6311,6310,1
6311,6039,1
6312,6391,1
6312,6039,1
6391,6031,1
6399,6392,1
6411,6411,1
6419,6419,1
6420,6421,1
6420,6422,1
6430,6431,1
6430,6432,1
6491,6491,1
6492,6492,1
6499,6422,1
6499,6492,1
6499,6499,1
6511,6511,1
6512,6512,1
6520,6520,1
6530,6530,1
6611,6611,1
6612,6612,1
6619,6619,1
6619,6630,1
6621,6621,1
6622,6622,1
6629,6629,1
6630,6630,1
6810,6811,1
6820,5590,1
6820,6820,1
6831,6831,1
6831,6832,1
6832,6832,1
6910,6910,1
6920,6920,1
7010,7010,1
7021,7330,1
7022,7020,1
7111,7111,1
7112,7112,1
7120,7120,1
7211,7210,1
7219,7210,1
7220,7220,1
7311,7311,1
7312,7312,1
7320,7320,1
7410,7411,1
7410,7412,1
7410,7413,1
7410,7414,1
7420,1812,1
7420,7420,1
7430,7430,1
7490,7491,1
7490,7499,1
7490,8009,1
7500,7500,1
7711,7711,1
7712,7711,1
7712,7712,1
7721,7721,1
7722,7722,1
7729,7722,1
7731,7731,1
7732,7732,1
7733,7733,1
7734,7734,1
7735,7735,1
7739,7711,1
7739,7712,1
7739,7739,1
7740,7740,1
7810,7810,1
7820,7820,1
7830,7820,1
7911,7751,1
7911,7911,1
7911,5232,
7911,5540,
7912,7912,1
7990,5232,1
7990,5540,1
7990,5640,1
7990,7751,1
7990,7990,1
7990,8240,1
8010,8001,1
8020,8009,1
8030,8001,1
8110,8110,1
8121,8121,1
8121,9691,1
8122,8122,1
8129,8123,1
8130,8130,1
8211,8210,1
8219,1812,1
8219,8210,1
8220,8220,1
8230,8230,1
8230,9329,1
8291,8291,1
8292,8292,1
8299,4618,1
8299,4611,1
8299,4612,1
8299,4613,1
8299,4614,1
8299,4615,1
8299,4616,1
8299,4617,1
8299,4619,1
8299,4791,1
8299,4792,1
8299,8291,1
8299,8299,1
8299,4360,
8299,5330,
8299,6120,
8299,7751,
8299,7752,
8299,8240,
8299,8561,
8299,8697,
8299,8791,
8299,9540,
8299,9640,
8411,8411,1
8412,8412,1
8413,8413,1
8421,8421,1
8422,8422,1
8423,8423,1
8424,8424,1
8425,8425,1
8430,8430,1
8510,8510,1
8520,8520,1
8531,8531,1
8532,8532,1
8541,8533,1
8542,8540,1
8551,8551,1
8551,9313,1
8552,8552,1
8553,8553,1
8559,8559,1
8560,8569,1
8610,8610,1
8621,8621,1
8622,8622,1
8623,8623,1
8690,8691,1
8690,8692,1
8690,8693,1
8690,8694,1
8690,8695,1
8690,8696,1
8690,8699,1
8710,8710,1
8720,8720,1
8730,8730,1
8790,8799,1
8810,8810,1
8891,8510,1
8891,8891,1
8899,8899,1
9001,9020,1
9002,9039,1
9003,9011,1
9003,9012,1
9003,9013,1
9003,9130,1
9004,9031,1
9101,9111,1
9101,9112,1
9102,9121,1
9103,9122,1
9104,9141,1
9104,9142,1
9200,9200,1
9311,9311,1
9311,9312,1
9311,9329,1
9312,9312,1
9313,9313,1
9319,9319,1
9319,9329,1
9321,9321,1
9321,9329,1
9329,8425,1
9329,9311,1
9329,9312,1
9329,9319,1
9329,9329,1
9411,9411,1
9412,9412,1
9420,9420,1
9491,9491,1
9492,9492,1
9499,9499,1
9511,9510,1
9512,9510,1
9521,9521,1
9522,9522,1
9523,9523,1
9524,9524,1
9525,9525,1
9529,9529,1
9601,5320,1
9601,9610,1
9601,9691,1
9602,9621,1
9602,9622,1
9603,9630,1
9604,9623,1
9609,9699,1
9700,9700,1
9810,9810,1
9820,9820,1
9900,9900,1
